iter	Passed	Remaining
628	1566	923
629	1567	920
630	1569	917
631	1572	915
632	1573	912
633	1574	908
634	1574	905
635	1575	901
636	1576	898
637	1577	895
638	1578	891
639	1579	888
640	1580	885
641	1581	881
642	1582	878
643	1583	875
644	1584	871
645	1585	868
646	1587	866
647	1588	863
648	1590	860
649	1591	857
650	1594	854
651	1596	851
652	1597	848
653	1598	845
654	1599	842
655	1601	839
656	1603	837
657	1605	834
658	1607	831
659	1609	829
660	1610	825
661	1611	822
662	1613	820
663	1614	816
664	1615	813
665	1619	812
666	1620	809
667	1621	806
668	1622	802
669	1623	799
670	1624	796
671	1626	793
672	1627	790
673	1628	787
674	1629	784
675	1632	782
676	1633	779
677	1650	783
678	1651	780
679	1652	777
680	1654	774
681	1655	771
682	1656	768
683	1657	765
684	1658	762
685	1659	759
686	1659	756
687	1660	753
688	1661	750
689	1662	747
690	1663	744
691	1664	741
692	1666	738
693	1670	736
694	1672	733
695	1674	731
696	1675	728
697	1676	725
698	1677	722
699	1679	719
700	1680	716
701	1681	713
702	1684	711
703	1685	708
704	1686	705
705	1687	702
706	1688	699
707	1690	697
708	1691	694
709	1692	691
710	1693	688
711	1694	685
712	1695	682
713	1696	679
714	1699	677
715	1700	674
716	1701	671
717	1702	668
718	1704	665
719	1705	663
720	1706	660
721	1707	657
722	1709	654
723	1710	652
724	1712	649
725	1715	647
726	1716	644
727	1717	641
728	1718	638
729	1720	636
730	1721	633
731	1722	630
732	1723	627
733	1724	625
734	1725	622
735	1726	619
736	1729	617
737	1730	614
738	1731	611
739	1732	608
740	1733	605
741	1734	603
742	1736	600
743	1737	597
744	1738	595
745	1739	592
746	1740	589
747	1741	586
748	1742	584
749	1745	581
750	1746	579
751	1747	576
752	1748	573
753	1750	571
754	1752	568
755	1753	565
756	1754	563
757	1755	560
758	1756	557
759	1757	555
760	1760	552
761	1761	550
762	1763	547
763	1765	545
764	1766	542
765	1768	540
766	1769	537
767	1771	535
768	1773	532
769	1783	532
770	1784	530
771	1785	527
772	1786	524
773	1788	522
774	1797	521
775	1798	519
776	1800	516
777	1802	514
778	1804	511
779	1808	510
780	1811	508
781	1813	505
782	1814	502
783	1815	500
784	1817	497
785	1818	495
786	1820	492
787	1826	491
788	1827	488
789	1829	486
790	1831	483
791	1832	481
792	1834	478
793	1839	477
794	1842	475
795	1844	472
796	1845	469
797	1846	467
798	1847	464
799	1848	462
800	1849	459
801	1851	456
802	1856	455
803	1857	452
804	1858	450
805	1860	447
806	1862	445
807	1863	442
808	1864	440
809	1866	437
810	1872	436
811	1873	433
812	1876	431
813	1878	429
814	1879	426
815	1880	423
816	1882	421
817	1887	419
818	1888	417
819	1890	414
820	1892	412
821	1893	410
822	1895	407
823	1896	405
824	1897	402
825	1901	400
826	1903	398
827	1905	395
828	1906	393
829	1907	390
830	1909	388
831	1911	385
832	1912	383
833	1916	381
834	1918	379
835	1920	376
836	1922	374
837	1923	371
838	1924	369
839	1925	366
840	1926	364
841	1927	361
842	1931	359
843	1933	357
844	1935	355
845	1936	352
846	1937	350
847	1938	347
848	1940	345
849	1941	342
850	1946	340
851	1948	338
852	1950	336
853	1951	333
854	1952	331
855	1953	328
856	1954	326
857	1955	323
858	1956	321
859	1957	318
860	1961	316
861	1964	314
862	1965	311
863	1966	309
864	1967	307
865	1968	304
866	1969	302
867	1970	299
868	1971	297
869	1972	294
870	1977	292
871	1979	290
872	1981	288
873	1982	285
874	1984	283
875	1986	281
876	1987	278
877	1992	276
878	1994	274
879	1996	272
880	1998	269
881	1999	267
882	2000	265
883	2002	262
884	2003	260
885	2009	258
886	2010	256
887	2011	253
888	2012	251
889	2013	248
890	2014	246
891	2016	244
892	2018	241
893	2021	239
894	2023	237
895	2024	235
896	2025	232
897	2027	230
898	2028	227
899	2029	225
900	2030	223
901	2031	220
902	2032	218
903	2033	215
904	2037	213
905	2038	211
906	2039	209
907	2040	206
908	2041	204
909	2042	202
910	2043	199
911	2044	197
912	2046	194
913	2047	192
914	2048	190
915	2049	187
916	2052	185
917	2054	183
918	2056	181
919	2058	179
920	2060	176
921	2061	174
922	2063	172
923	2064	169
924	2072	168
925	2074	165
926	2075	163
927	2076	161
928	2077	158
929	2078	156
930	2079	154
931	2082	151
932	2083	149
933	2084	147
934	2085	145
935	2086	142
936	2089	140
937	2091	138
938	2092	135
939	2093	133
940	2094	131
941	2096	129
942	2099	126
943	2101	124
944	2102	122
945	2103	120
946	2104	117
947	2105	115
948	2106	113
949	2107	110
950	2108	108
951	2109	106
952	2110	104
953	2113	101
954	2115	99
955	2116	97
956	2117	95
957	2118	92
958	2120	90
959	2121	88
960	2122	86
961	2123	83
962	2125	81
963	2126	79
964	2128	77
965	2130	74
966	2131	72
967	2132	70
968	2133	68
969	2134	66
970	2135	63
971	2136	61
972	2138	59
973	2139	57
974	2141	54
975	2145	52
976	2146	50
977	2147	48
978	2148	46
979	2149	43
980	2150	41
981	2152	39
982	2153	37
983	2154	35
984	2155	32
985	2157	30
986	2158	28
987	2159	26
988	2161	24
989	2162	21
990	2163	19
991	2164	17
992	2165	15
993	2167	13
994	2168	10
995	2170	8
996	2172	6
997	2174	4
998	2175	2
999	2176	0
